,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
20,Munchlax,Slowbro,Walrein,Whismur,Crabominable,Panpour,Krookodile,Nidoran♀,Axew,Torkoal,Treecko,Sawk,Slaking,Tyranitar,Salamence,Volcarona,Pidgeot,Golbat,Sharpedo,Braviary,Emboar,Silvally,Krookodile,Heracross,Hawlucha,Dragonite,Drapion,Pyroar,Garchomp,Toucannon,Hydreigon
21,Barboach,Stunfisk,Milotic,Pikachu,Stufful,Eelektrik,Wailmer,Charmander,Beedrill,Rufflet,Baltoy,Alakazam,Slaking,Salamence,Kommo-o,Metagross,Kangaskhan,Altaria,Florges,Blastoise,Dragonite,Silvally,Bisharp,Tyranitar,Sawk,Tyrantrum,Blaziken,Empoleon,Hitmontop,Seviper,Crobat
22,Houndoom,Honchkrow,Beheeyem,Elgyem,Simisear,Cutiefly,Steelix,Aerodactyl,Cleffa,Steelix,Mantyke,Slowbro,Blastoise,Alomomola,Poliwrath,Samurott,Feraligatr,Vaporeon,Ampharos,Milotic,Politoed,Kingdra,Tangrowth,Skarmory,Swampert,Jellicent,Passimian,Wailord,Crabominable,Machamp,Octillery
23,Hippopotas,Gastly,Malamar,Swinub,Bruxish,Donphan,Foongus,Flabébé,Staraptor,Silcoon,Vullaby,Salamence,Aerodactyl,Slaking,Noivern,Electabuzz,Manectric,Greninja,Chandelure,Rotom,Glalie,Crobat,Gyarados,Jolteon,Skarmory,Charizard,Minior,Tauros,Magnezone,Emolga,Metagross
24,Dedenne,Bronzong,Dustox,Absol,Farfetch'd,Leafeon,Wailord,Krabby,Zebstrika,Gothorita,Bunnelby,Salamence,Goodra,Simisage,Hydreigon,Slaking,Floette,Serperior,Lopunny,Alakazam,Haxorus,Meganium,Gogoat,Greninja,Ferrothorn,Venusaur,Sliggoo,Trevenant,Maractus,Garchomp,Dragonite
25,Volbeat,Sharpedo,Axew,Gothitelle,Avalugg,Honedge,Grumpig,Swirlix,Croconaw,Grubbin,Diggersby,Silvally,Gardevoir,Metagross,Tyranitar,Slaking,Empoleon,Gyarados,Mismagius,Shiftry,Goodra,Umbreon,Swampert,Absol,Hydreigon,Sharpedo,Floette,Grumpig,Milotic,Kingdra,Pidgeot
26,Stoutland,Whirlipede,Crobat,Farfetch'd,Herdier,Swinub,Vivillon,Druddigon,Skorupi,Charizard,Kricketot,Slaking,Kangaskhan,Gengar,Zebstrika,Pidgeot,Metagross,Archeops,Heliolisk,Meowstic,Jolteon,Blastoise,Tyranitar,Sharpedo,Aerodactyl,Cinccino,Electivire,Electabuzz,Empoleon,Furfrou,Lanturn
27,Zorua,Trubbish,Delphox,Lotad,Tropius,Bounsweet,Malamar,Murkrow,Poliwrath,Seedot,Slowking,Slaking,Pinsir,Floette,Simisage,Scyther,Salamence,Noivern,Yanmega,Haxorus,Dragonite,Leavanny,Garchomp,Leafeon,Blastoise,Sceptile,Gyarados,Venusaur,Hydreigon,Kangaskhan,Simipour
28,Meditite,Magnezone,Spiritomb,Gabite,Houndour,Azurill,Dragonite,Masquerain,Weezing,Timburr,Golurk,Metagross,Salamence,Glalie,Slaking,Aurorus,Floette,Goodra,Alakazam,Charizard,Golduck,Hydreigon,Gengar,Aerodactyl,Arcanine,Simisear,Altaria,Simipour,Dragonite,Haxorus,Houndoom
29,Binacle,Scizor,Vanillite,Blitzle,Granbull,Durant,Haxorus,Miltank,Durant,Lanturn,Slakoth,Salamence,Mienshao,Metagross,Alakazam,Slaking,Hawlucha,Steelix,Gallade,Lucario,Manectric,Noivern,Greninja,Aerodactyl,Empoleon,Lopunny,Houndoom,Absol,Weavile,Starmie,Heracross
30,Accelgor,Kadabra,Farfetch'd,Xatu,Mareep,Passimian,Golem,Sawk,Oranguru,Trubbish,Tentacruel,Gengar,Salamence,Espeon,Drifblim,Garchomp,Chandelure,Mismagius,Hawlucha,Chatot,Metagross,Haunter,Golbat,Banette,Kadabra,Yanmega,Venusaur,Lampent,Delphox,Staraptor,Jellicent
31,Leavanny,Rhyperior,Honchkrow,Fletchinder,Meowstic,Trevenant,Karrablast,Excadrill,Whirlipede,Seaking,Mareanie,Bulbasaur,Lickilicky,Tangrowth,Electivire,Yanmega,Gliscor,Mamoswine,Magnezone,Porygon-Z,Froslass,Rotom,Servine,Serperior,Pignite,Oshawott,Dusknoir,Dewott,Abomasnow,Mantyke,Purugly
32,Palpitoad,Bellsprout,Zangoose,Monferno,Golem,Dodrio,Swanna,Klang,Accelgor,Skitty,Charjabug,Salamence,Metagross,Lopunny,Slaking,Alakazam,Pidgeot,Magnezone,Sceptile,Crobat,Houndoom,Tauros,Manectric,Tyranitar,Blastoise,Zebstrika,Ampharos,Aggron,Gardevoir,Aegislash,Talonflame
33,Numel,Kecleon,Panpour,Nosepass,Raticate,Drifloon,Remoraid,Gigalith,Sylveon,Elgyem,Piloswine,Gardevoir,Metagross,Empoleon,Klinklang,Sceptile,Excadrill,Milotic,Meganium,Gyarados,Slaking,Vaporeon,Blastoise,Greninja,Simipour,Silvally,Samurott,Skarmory,Delphox,Swampert,Scizor
34,Charmander,Steenee,Noctowl,Staraptor,Banette,Zubat,Pancham,Golem,Azumarill,Bellossom,Cascoon,Alakazam,Venusaur,Decidueye,Scizor,Klefki,Aegislash,Gogoat,Floette,Gardevoir,Slaking,Metagross,Garchomp,Jynx,Sceptile,Ferrothorn,Klang,Klinklang,Haxorus,Quilladin,Gourgeist
35,Crawdaunt,Honedge,Gothitelle,Vulpix,Snover,Sudowoodo,Spinda,Swampert,Happiny,Nosepass,Remoraid,Kommo-o,Meganium,Gogoat,Simisage,Slaking,Gyarados,Tsareena,Goodra,Blastoise,Kingdra,Leafeon,Decidueye,Venusaur,Ludicolo,Milotic,Serperior,Roserade,Bruxish,Garchomp,Golduck
36,Prinplup,Klinklang,Tentacruel,Joltik,Chingling,Snubbull,Trapinch,Fletchinder,Steenee,Pachirisu,Plusle,Pyroar,Silvally,Blaziken,Slaking,Sigilyph,Garchomp,Turtonator,Aerodactyl,Houndoom,Swampert,Delphox,Kangaskhan,Simisear,Floette,Cinccino,Goodra,Typhlosion,Gliscor,Flygon,Tyranitar
37,Claydol,Honedge,Sandile,Beartic,Lunatone,Fletchinder,Joltik,Volcarona,Pikachu,Leavanny,Electivire,Greninja,Garchomp,Metagross,Hydreigon,Sharpedo,Absol,Tauros,Infernape,Salamence,Floatzel,Slaking,Pyroar,Swampert,Houndoom,Kangaskhan,Delphox,Gastrodon,Rhyperior,Typhlosion,Zoroark
38,Ferrothorn,Trumbeak,Masquerain,Magby,Wormadam,Braixen,Grubbin,Happiny,Vanilluxe,Hippowdon,Doublade,Floette,Blastoise,Gyarados,Slaking,Sharpedo,Simipour,Politoed,Lapras,Feraligatr,Vaporeon,Golduck,Kangaskhan,Basculin,Charizard,Kingdra,Volcarona,Wailord,Arcanine,Excadrill,Phione
39,Gligar,Skiploom,Manectric,Koffing,Furfrou,Blastoise,Serperior,Charmander,Venonat,Smoochum,Rattata,Altaria,Hydreigon,Goodra,Kommo-o,Dragonite,Slaking,Kangaskhan,Lopunny,Metagross,Noivern,Crobat,Pidgeot,Silvally,Delphox,Salamence,Hawlucha,Staraptor,Vanilluxe,Gyarados,Drapion
40,Vileplume,Gyarados,Noibat,Weedle,Meowstic,Dusknoir,Meowstic,Claydol,Solosis,Glalie,Whirlipede,Greninja,Incineroar,Lopunny,Metagross,Mismagius,Tyranitar,Blastoise,Slaking,Salamence,Silvally,Houndoom,Talonflame,Empoleon,Primarina,Bisharp,Kangaskhan,Pidgeot,Charizard,Lapras,Pinsir
41,Sunkern,Volbeat,Dewpider,Stoutland,Geodude,Grubbin,Voltorb,Basculin,Breloom,Dwebble,Finneon,Sceptile,Venusaur,Meowstic,Gardevoir,Pidgeot,Metagross,Decidueye,Simisage,Goodra,Garchomp,Slaking,Kangaskhan,Jolteon,Haxorus,Pinsir,Serperior,Electrode,Lucario,Gourgeist,Kommo-o
42,Clawitzer,Ledyba,Espeon,Sharpedo,Phione,Pyroar,Nidoran♀,Marowak,Rowlet,Octillery,Sharpedo,Salamence,Dragonite,Noivern,Slaking,Manectric,Garchomp,Swampert,Tauros,Kommo-o,Altaria,Crobat,Goodra,Hydreigon,Dodrio,Kangaskhan,Archeops,Greninja,Electrode,Chesnaught,Zebstrika
43,Ninetales,Charmeleon,Roselia,Oricorio,Nidoqueen,Kricketune,Solrock,Ninjask,Onix,Brionne,Breloom,Metagross,Salamence,Glalie,Banette,Gyarados,Florges,Comfey,Scizor,Floette,Durant,Sigilyph,Slaking,Yanmega,Klefki,Golurk,Charizard,Slurpuff,Dragonite,Archeops,Heracross
44,Goldeen,Grumpig,Riolu,Patrat,Spewpa,Archen,Sliggoo,Alomomola,Seviper,Garbodor,Slakoth,Starmie,Espeon,Tyranitar,Metagross,Garchomp,Lucario,Hydreigon,Banette,Bronzong,Stoutland,Kommo-o,Klefki,Blastoise,Excadrill,Dragonite,Scizor,Venusaur,Noivern,Salamence,Feraligatr
45,Pelipper,Gloom,Mantine,Wailord,Prinplup,Lunatone,Absol,Spewpa,Exeggutor,Watchog,Liepard,Sceptile,Manectric,Garchomp,Houndoom,Floette,Weavile,Pangoro,Absol,Accelgor,Tyranitar,Lucario,Greninja,Slaking,Salamence,Krookodile,Jolteon,Sharpedo,Pinsir,Zebstrika,Mandibuzz
46,Heracross,Smoochum,Quilladin,Crobat,Marill,Slaking,Tsareena,Sceptile,Sealeo,Spinda,Vanillish,Metagross,Delphox,Lucario,Salamence,Noivern,Sceptile,Slaking,Houndoom,Espeon,Pinsir,Scizor,Salazzle,Infernape,Venusaur,Volcarona,Charizard,Pidgeot,Passimian,Crobat,Ferrothorn
47,Jellicent,Ariados,Buneary,Staraptor,Weezing,Bastiodon,Snover,Probopass,Politoed,Lycanroc,Bayleef,Metagross,Chesnaught,Ferrothorn,Lucario,Slaking,Breloom,Sharpedo,Hawlucha,Gogoat,Passimian,Ampharos,Mienshao,Sawk,Venusaur,Garchomp,Hitmonlee,Tyranitar,Hariyama,Conkeldurr,Serperior
48,Lurantis,Deino,Toxicroak,Ludicolo,Gothita,Klefki,Timburr,Graveler,Piloswine,Golbat,Growlithe,Charizard,Simipour,Starmie,Slaking,Blastoise,Feraligatr,Floette,Gyarados,Blaziken,Darmanitan,Delphox,Houndoom,Lucario,Milotic,Metagross,Samurott,Alakazam,Gardevoir,Espeon,Swanna
49,Vigoroth,Drowzee,Snover,Pangoro,Cranidos,Heracross,Armaldo,Duosion,Tauros,Koffing,Croconaw,Aegislash,Salamence,Metagross,Rotom,Gengar,Garchomp,Slaking,Gyarados,Alakazam,Drifblim,Pidgeot,Archeops,Starmie,Kangaskhan,Chandelure,Kadabra,Houndoom,Goodra,Gourgeist,Excadrill
50,Parasect,Weepinbell,Tangrowth,Forretress,Helioptile,Flareon,Solosis,Fraxure,Bayleef,Castform,Starly,Absol,Garchomp,Alakazam,Tyranitar,Goodra,Kangaskhan,Stoutland,Grumpig,Tauros,Flygon,Braviary,Houndoom,Gyarados,Slaking,Haxorus,Aerodactyl,Dragonite,Hitmonlee,Salamence,Hitmonchan
51,Incineroar,Sandygast,Archen,Slowbro,Electrode,Flareon,Carnivine,Dewott,Machoke,Nidorino,Marill,Salamence,Garchomp,Dragonite,Gallade,Grumpig,Hypno,Samurott,Altaria,Haxorus,Banette,Mr. Mime,Slaking,Drifblim,Kommo-o,Gyarados,Goodra,Toxicroak,Crobat,Kangaskhan,Politoed
52,Loudred,Patrat,Lycanroc,Blissey,Taillow,Bunnelby,Gardevoir,Mismagius,Dunsparce,Chinchou,Yamask,Tyranitar,Krookodile,Metagross,Slaking,Tauros,Bisharp,Pangoro,Houndoom,Alakazam,Absol,Greninja,Sceptile,Pinsir,Excadrill,Espeon,Archeops,Lopunny,Scrafty,Honchkrow,Umbreon
53,Gurdurr,Klinklang,Pidgeot,Skarmory,Cutiefly,Cyndaquil,Loudred,Deino,Cryogonal,Delphox,Gengar,Greninja,Gengar,Bisharp,Absol,Archeops,Tyranitar,Snorlax,Minior,Ambipom,Solrock,Liepard,Crobat,Salamence,Heliolisk,Electabuzz,Lapras,Malamar,Tauros,Empoleon,Aerodactyl
54,Alomomola,Timburr,Nosepass,Lillipup,Rotom,Krabby,Palpitoad,Dunsparce,Carvanha,Flabébé,Slaking,Metagross,Chandelure,Tyranitar,Lucario,Greninja,Gallade,Slaking,Gardevoir,Salamence,Simipour,Mienshao,Pidgeot,Espeon,Gengar,Typhlosion,Houndoom,Aerodactyl,Drifblim,Garchomp,Charizard
55,Kadabra,Sunkern,Purugly,Burmy,Pangoro,Mudkip,Goodra,Gourgeist,Mimikyu,Magikarp,Zubat,Gardevoir,Slaking,Metagross,Kadabra,Espeon,Alakazam,Meowstic,Klefki,Froslass,Klinklang,Mismagius,Sharpedo,Excadrill,Absol,Delphox,Houndoom,Charizard,Gengar,Drifblim,Glalie
56,Woobat,Tentacruel,Sliggoo,Amaura,Scrafty,Fearow,Beldum,Kecleon,Growlithe,Chimecho,Golisopod,Slaking,Altaria,Tyranitar,Blastoise,Garchomp,Electivire,Silvally,Dragonite,Druddigon,Tyrantrum,Manectric,Chandelure,Bouffalant,Haxorus,Swampert,Milotic,Lucario,Banette,Raichu,Eelektross
57,Metapod,Watchog,Ludicolo,Croagunk,Zubat,Dewgong,Simisear,Ferrothorn,Kirlia,Phantump,Granbull,Metagross,Charizard,Blaziken,Garchomp,Gyarados,Salamence,Slaking,Talonflame,Chandelure,Delphox,Ninetales,Houndoom,Darmanitan,Hydreigon,Lucario,Espeon,Sharpedo,Venusaur,Arcanine,Manectric
58,Vileplume,Dwebble,Elgyem,Bergmite,Treecko,Raticate,Magcargo,Inkay,Carracosta,Silcoon,Vespiquen,Empoleon,Wailord,Goodra,Salamence,Primarina,Blastoise,Haxorus,Sylveon,Feraligatr,Kingdra,Phione,Zebstrika,Altaria,Milotic,Sharpedo,Slaking,Clefable,Gyarados,Aegislash,Omastar
59,Lycanroc,Gliscor,Floatzel,Beldum,Phanpy,Lampent,Charmander,Drampa,Dragonair,Hydreigon,Sandslash,Lucario,Slaking,Kommo-o,Tyranitar,Floette,Togekiss,Aerodactyl,Salamence,Kangaskhan,Primarina,Garchomp,Goodra,Hawlucha,Flygon,Archeops,Blaziken,Sawk,Crobat,Florges,Pidgeot
60,Ariados,Mareep,Sliggoo,Stunfisk,Slowbro,Whiscash,Clefairy,Mareanie,Grovyle,Bewear,Yanmega,Gardevoir,Charizard,Noivern,Salamence,Crobat,Metagross,Florges,Sigilyph,Garchomp,Delphox,Dragonite,Hawlucha,Altaria,Slaking,Pidgeot,Meowstic,Greninja,Floette,Drifblim,Talonflame
61,Tranquill,Archen,Geodude,Starly,Panpour,Delcatty,Mareanie,Phanpy,Chandelure,Dartrix,Gastly,Gardevoir,Salamence,Floette,Absol,Alakazam,Garchomp,Flygon,Tyranitar,Hydreigon,Haxorus,Charizard,Krookodile,Archeops,Noivern,Gyarados,Gliscor,Espeon,Houndoom,Magmar,Delphox
62,Volbeat,Solrock,Aerodactyl,Deerling,Darmanitan,Cacturne,Spiritomb,Jangmo-o,Goomy,Seismitoad,Skitty,Slaking,Togekiss,Sawk,Passimian,Hydreigon,Floette,Sylveon,Chesnaught,Kommo-o,Hawlucha,Braviary,Mandibuzz,Scizor,Yanmega,Kangaskhan,Pidgeot,Mienshao,Leavanny,Silvally,Comfey
63,Gallade,Purugly,Ludicolo,Porygon2,Drilbur,Alakazam,Swadloon,Pineco,Florges,Chatot,Azumarill,Metagross,Hydreigon,Slaking,Snorlax,Scizor,Greninja,Sharpedo,Kangaskhan,Goodra,Magnezone,Skuntank,Krookodile,Floette,Escavalier,Bisharp,Crawdaunt,Steelix,Ferrothorn,Absol,Sylveon
64,Gastly,Whimsicott,Snivy,Magnezone,Durant,Glameow,Combusken,Gible,Gligar,Nuzleaf,Wishiwashi,Haxorus,Lopunny,Altaria,Slaking,Simisage,Heracross,Gardevoir,Salamence,Chesnaught,Leavanny,Hydreigon,Venusaur,Silvally,Lilligant,Metagross,Kangaskhan,Floette,Gallade,Pinsir,Togekiss
65,Stunfisk,Ninjask,Zebstrika,Gastrodon,Meganium,Ampharos,Combee,Golurk,Gengar,Tyrogue,Budew,Garchomp,Krookodile,Alakazam,Hydreigon,Swampert,Tyranitar,Slaking,Excadrill,Bewear,Metagross,Kangaskhan,Goodra,Seismitoad,Absol,Steelix,Venusaur,Greninja,Aegislash,Mamoswine,Incineroar
66,Milotic,Delphox,Litten,Goodra,Ivysaur,Bagon,Clauncher,Pichu,Dustox,Golurk,Meganium,Kommo-o,Zoroark,Furret,Gothitelle,Crobat,Alomomola,Mothim,Xatu,Haxorus,Staraptor,Empoleon,Golurk,Machamp,Metagross,Bisharp,Tauros,Braviary,Mandibuzz,Absol,Hydreigon
67,Kricketune,Ferrothorn,Dusknoir,Ducklett,Serperior,Hitmonlee,Durant,Houndour,Binacle,Lycanroc,Tauros,Metagross,Lucario,Salamence,Aegislash,Hawlucha,Slaking,Gengar,Starmie,Slowbro,Manectric,Lopunny,Greninja,Gallade,Trevenant,Dhelmise,Sceptile,Serperior,Decidueye,Rotom,Alakazam
68,Golbat,Swalot,Walrein,Gigalith,Gabite,Simisage,Mightyena,Ivysaur,Marowak,Trevenant,Brionne,Salamence,Dragonite,Absol,Hydreigon,Noivern,Goodra,Altaria,Venusaur,Gardevoir,Crobat,Slaking,Houndoom,Sawsbuck,Metagross,Mandibuzz,Heracross,Tsareena,Pinsir,Alakazam,Haxorus
69,Vullaby,Scrafty,Shiinotic,Finneon,Tyrogue,Kecleon,Charjabug,Litten,Magmortar,Vanillite,Treecko,Slaking,Absol,Garchomp,Greninja,Salamence,Gardevoir,Kommo-o,Kingdra,Goodra,Tyranitar,Tyrantrum,Aerodactyl,Blastoise,Simipour,Pidgeot,Kangaskhan,Sharpedo,Altaria,Seismitoad,Silvally
70,Zubat,Raichu,Golett,Charizard,Aggron,Herdier,Granbull,Purugly,Donphan,Morelull,Aerodactyl,Manectric,Silvally,Slaking,Metagross,Empoleon,Gyarados,Magnezone,Aggron,Venusaur,Seviper,Gengar,Floette,Chandelure,Magmortar,Blastoise,Roserade,Sceptile,Aerodactyl,Exploud,Alakazam
71,Mienfoo,Onix,Vigoroth,Dewott,Bisharp,Ralts,Lickilicky,Garchomp,Delcatty,Aerodactyl,Aerodactyl,Lucario,Garchomp,Silvally,Alakazam,Metagross,Slaking,Dragonite,Glalie,Floette,Noivern,Greninja,Altaria,Kangaskhan,Haxorus,Gardevoir,Sceptile,Staraptor,Serperior,Cryogonal,Gallade
72,Poliwag,Luxio,Mime Jr.,Dartrix,Poliwag,Skorupi,Sceptile,Morelull,Tyrogue,Buneary,Trumbeak,Alakazam,Simisear,Magmar,Crobat,Arcanine,Metagross,Houndoom,Sigilyph,Xatu,Drifblim,Delphox,Pidgeot,Dragonite,Golbat,Typhlosion,Rapidash,Noivern,Ninetales,Blaziken,Salazzle
73,Cherrim,Yanma,Weavile,Helioptile,Exeggcute,Mamoswine,Komala,Steenee,Cofagrigus,Scraggy,Geodude,Sceptile,Sawk,Passimian,Slaking,Magmortar,Infernape,Metagross,Simisage,Blastoise,Weavile,Honchkrow,Tauros,Silvally,Samurott,Porygon-Z,Medicham,Typhlosion,Floette,Feraligatr,Sharpedo
74,Bidoof,Cacturne,Fennekin,Bouffalant,Politoed,Mightyena,Helioptile,Vespiquen,Shellos,Helioptile,Bergmite,Kommo-o,Durant,Haxorus,Leavanny,Sawk,Throh,Primeape,Tentacruel,Hippowdon,Lucario,Honchkrow,Hydreigon,Luxray,Glalie,Slaking,Swampert,Blaziken,Tyranitar,Miltank,Kangaskhan
75,Heracross,Hoppip,Avalugg,Weavile,Panpour,Servine,Victreebel,Leafeon,Pinsir,Trapinch,Nidoqueen,Metagross,Charizard,Salamence,Talonflame,Crobat,Pidgeot,Noivern,Skarmory,Golbat,Dragonite,Yanmega,Slaking,Altaria,Scizor,Oricorio,Garchomp,Aerodactyl,Heracross,Fletchinder,Magnezone
76,Gardevoir,Umbreon,Hawlucha,Electrode,Beedrill,Ninetales,Sliggoo,Piplup,Hitmonchan,Seedot,Doublade,Kommo-o,Probopass,Hydreigon,Kangaskhan,Durant,Heatmor,Mandibuzz,Swampert,Rhydon,Golurk,Scyther,Blaziken,Phione,Magmar,Servine,Sceptile,Gyarados,Mr. Mime,Rhyhorn,Gallade
